date_iso,date_label,day,festival,month,source_url
,"November 11, 2026 / ११ नोव्हेंबर २०२६",Wednesday / बुधवार,Bhau Beej / भाऊबीज,november,https://kalnirnay.co.in/november/
,"November 16, 2026 / १६ नोव्हेंबर २०२६",Monday / सोमवार,Jalaram Bapa Jayanti / जलाराम बापा जयंती,november,https://kalnirnay.co.in/november/
,"November 16, 2026 / १६ नोव्हेंबर २०२६",Monday / सोमवार,Vrishchika Sankranti / वृश्चिक संक्रांती,november,https://kalnirnay.co.in/november/
,"November 20, 2026 / २० नोव्हेंबर २०२६",Friday / शुक्रवार,Devutthana Ekadashi / देवोत्ताना एकादशी,november,https://kalnirnay.co.in/november/
,"November 21, 2026 / २१ नोव्हेंबर २०२६",Saturday / शनिवार,Tulasi Vivah / तुळशी विवाह,november,https://kalnirnay.co.in/november/
,"November 21, 2026 / २१ नोव्हेंबर २०२६",Saturday / शनिवार,Gauna Devutthana Ekadashi / गौना देवोत्ताना एकादशी,november,https://kalnirnay.co.in/november/
,"November 21, 2026 / २१ नोव्हेंबर २०२६",Saturday / शनिवार,Vaishnava Devutthana Ekadashi / वैष्णव देवोत्ताना एकादशी,november,https://kalnirnay.co.in/november/
,"November 24, 2026 / २४ नोव्हेंबर २०२६",Tuesday / मंगळवार,Kartika Purnima / कार्तिक पौर्णिमा,november,https://kalnirnay.co.in/november/
,"November 27, 2026 / २७ नोव्हेंबर २०२६",Friday / शुक्रवार,Ganadhipa Sankashti / गणाधिपा संकष्टी,november,https://kalnirnay.co.in/november/
,"December 1, 2026 / ०१ डिसेंबर २०२६",Tuesday / मंगळवार,Kalabhairav Jayanti / काळभैरव जयंती,december,https://kalnirnay.co.in/december/
,"December 4, 2026 / ०४ डिसेंबर २०२६",Friday / शुक्रवार,Utpanna Ekadashi / उत्पन्ना एकादशी,december,https://kalnirnay.co.in/december/
,"December 15, 2026 / १५ डिसेंबर २०२६",Tuesday / मंगळवार,Champa Shashthi / चम्पा षष्ठी,december,https://kalnirnay.co.in/december/
,"December 16, 2026 / १६ डिसेंबर २०२६",Wednesday / बुधवार,Dhanu Sankranti / धनु संक्रांती,december,https://kalnirnay.co.in/december/
,"December 20, 2026 / २० डिसेंबर २०२६",Sunday / रविवार,Gita Jayanti / गीता जयंती,december,https://kalnirnay.co.in/december/
,"December 20, 2026 / २० डिसेंबर २०२६",Sunday / रविवार,Mokshada Ekadashi / मोक्षदा एकादशी,december,https://kalnirnay.co.in/december/
,"December 23, 2026 / २३ डिसेंबर २०२६",Wednesday / बुधवार,Dattatreya Jayanti / दत्तात्रेय जयंती,december,https://kalnirnay.co.in/december/
,"December 26, 2026 / २६ डिसेंबर २०२६",Saturday / शनिवार,Akhuratha Sankashti / अखुराठा संकष्टी,december,https://kalnirnay.co.in/december/
